theta_cm_deg,fresco_mb_sr,scaled_mb_sr
20.8,0.167,0.01995620526
20.9,0.1658,0.01981280738
21,0.1647,0.01968135932
21.1,0.1636,0.01954991126
21.2,0.1626,0.01943041302
21.3,0.1616,0.01931091479
21.4,0.1607,0.01920336638
21.5,0.1598,0.01909581797
21.6,0.159,0.01900021938
21.7,0.1582,0.01890462079
21.8,0.1574,0.0188090222
21.9,0.1566,0.01871342361
22,0.1559,0.01862977485
22.1,0.1552,0.01854612608
22.2,0.1546,0.01847442714
22.3,0.154,0.0184027282
22.4,0.1533,0.01831907944
22.5,0.1528,0.01825933032
22.6,0.1522,0.01818763138
22.7,0.1516,0.01811593244
22.8,0.1511,0.01805618332
22.9,0.1505,0.01798448438
23,0.15,0.01792473526
23.1,0.1495,0.01786498614
23.2,0.149,0.01780523703
23.3,0.1485,0.01774548791
23.4,0.1479,0.01767378897
23.5,0.1474,0.01761403985
23.6,0.1469,0.01755429073
23.7,0.1464,0.01749454162
23.8,0.1459,0.0174347925
23.9,0.1453,0.01736309356
24,0.1448,0.01730334444
24.1,0.1442,0.0172316455
24.2,0.1437,0.01717189638
24.3,0.1431,0.01710019744
24.4,0.1425,0.0170284985
24.5,0.1419,0.01695679956
24.6,0.1413,0.01688510062
24.7,0.1406,0.01680145185
24.8,0.14,0.01672975291
24.9,0.1393,0.01664610415
25,0.1386,0.01656245538
25.1,0.1379,0.01647880662
25.2,0.1372,0.01639515785
25.3,0.1364,0.01629955927
25.4,0.1356,0.01620396068
25.5,0.1348,0.01610836209
25.6,0.134,0.0160127635
25.7,0.1331,0.01590521509
25.8,0.1323,0.0158096165
25.9,0.1314,0.01570206809
26,0.1305,0.01559451968
26.1,0.1295,0.01547502144
26.2,0.1285,0.01535552321
26.3,0.1276,0.0152479748
26.4,0.1265,0.01511652674
26.5,0.1255,0.0149970285
26.6,0.1244,0.01486558044
26.7,0.1234,0.01474608221
26.8,0.1223,0.01461463415
26.9,0.1211,0.01447123627
27,0.12,0.01433978821
27.1,0.1188,0.01419639033
27.2,0.1176,0.01405299245
27.3,0.1164,0.01390959456
27.4,0.1152,0.01376619668
27.5,0.1139,0.01361084898
27.6,0.1127,0.01346745109
27.7,0.1114,0.01331210339
27.8,0.1101,0.01315675568
27.9,0.1088,0.01300140798
28,0.1074,0.01283411045
28.1,0.1061,0.01267876274
28.2,0.1047,0.01251146521
28.3,0.1034,0.01235611751
28.4,0.102,0.01218881998
28.5,0.1006,0.01202152245
28.6,0.09922,0.01185661488
28.7,0.09781,0.01168812237
28.8,0.0964,0.01151962986
28.9,0.09499,0.01135113735
29,0.09356,0.01118025487
29.1,0.09214,0.01101056738
29.2,0.09071,0.0108396849
29.3,0.08928,0.01066880243
29.4,0.08785,0.01049791995
29.5,0.08642,0.01032703748
29.6,0.08499,0.010156155
29.7,0.08356,0.009985272523
29.8,0.08214,0.00981558503
29.9,0.08072,0.009645897536
30,0.07931,0.009477405024
30.1,0.0779,0.009308912513
30.2,0.0765,0.009141614984
30.3,0.07511,0.008975512437
30.4,0.07372,0.00880940989
30.5,0.07235,0.008645697308
30.6,0.07099,0.008483179708
30.7,0.06964,0.008321857091
30.8,0.0683,0.008161729456
30.9,0.06697,0.008002796803
31,0.06567,0.007847449098
31.1,0.06437,0.007692101392
31.2,0.06309,0.007539143651
31.3,0.06183,0.007388575875
31.4,0.06059,0.007240398064
31.5,0.05936,0.007093415234
31.6,0.05816,0.006950017352
31.7,0.05697,0.006807814453
31.8,0.0558,0.006668001518
31.9,0.05466,0.00653177353
32,0.05353,0.006396740524
32.1,0.05243,0.006265292465
32.2,0.05135,0.006136234371
32.3,0.0503,0.006010761225
32.4,0.04927,0.005887678042
32.5,0.04826,0.005766984825
32.6,0.04728,0.005649876555
32.7,0.04632,0.005535158249
32.8,0.04538,0.005422829908
32.9,0.04448,0.005315281496
33,0.0436,0.00521012305
33.1,0.04274,0.005107354567
33.2,0.04192,0.005009366015
33.3,0.04112,0.004913767427
33.4,0.04034,0.004820558803
33.5,0.0396,0.004732130109
33.6,0.03888,0.00464609138
33.7,0.03819,0.004563637598
33.8,0.03753,0.004484768763
33.9,0.03689,0.004408289892
34,0.03629,0.004336590951
34.1,0.03571,0.004267281975
34.2,0.03516,0.004201557945
34.3,0.03463,0.004138223881
34.4,0.03414,0.004079669746
34.5,0.03367,0.004023505575
34.6,0.03323,0.003970926352
34.7,0.03281,0.003920737093
34.8,0.03243,0.003875327764
34.9,0.03207,0.003832308399
35,0.03174,0.003792873981
35.1,0.03143,0.003755829529
35.2,0.03115,0.003722370023
35.3,0.03089,0.003691300482
35.4,0.03066,0.003663815888
35.5,0.03046,0.003639916241
35.6,0.03028,0.003618406558
35.7,0.03012,0.003599286841
35.8,0.02999,0.00358375207
35.9,0.02988,0.003570607264
36,0.02979,0.003559852423
36.1,0.02972,0.003551487547
36.2,0.02968,0.003546707617
36.3,0.02965,0.00354312267
36.4,0.02965,0.00354312267
36.5,0.02966,0.003544317653
36.6,0.0297,0.003549097582
36.7,0.02975,0.003555072494
36.8,0.02982,0.00356343737
36.9,0.02991,0.003574192211
37,0.03001,0.003586142035
37.1,0.03013,0.003600481823
37.2,0.03026,0.003616016594
37.3,0.03041,0.003633941329
37.4,0.03057,0.003653061046
37.5,0.03074,0.003673375746
37.6,0.03093,0.003696080411
37.7,0.03112,0.003718785076
37.8,0.03133,0.003743879705
37.9,0.03155,0.003770169317
38,0.03177,0.003796458929
38.1,0.032,0.003823943523
38.2,0.03224,0.003852623099
38.3,0.03249,0.003882497658
38.4,0.03274,0.003912372217
38.5,0.033,0.003943441758
38.6,0.03326,0.003974511299
38.7,0.03353,0.004006775822
38.8,0.0338,0.004039040346
38.9,0.03407,0.004071304869
39,0.03434,0.004103569393
39.1,0.03462,0.004137028899
39.2,0.03489,0.004169293422
39.3,0.03517,0.004202752928
39.4,0.03544,0.004235017451
39.5,0.03571,0.004267281975
39.6,0.03598,0.004299546498
39.7,0.03625,0.004331811022
39.8,0.03652,0.004364075545
39.9,0.03678,0.004395145086
40,0.03703,0.004425019645
