theta_cm_deg,fresco_mb_sr,scaled_mb_sr
86.1,0.001638,0.0001957381091
86.2,0.00163,0.0001947821232
86.3,0.001622,0.0001938261373
86.4,0.001615,0.0001929896497
86.5,0.001607,0.0001920336638
86.6,0.0016,0.0001911971761
86.7,0.001593,0.0001903606885
86.8,0.001586,0.0001895242008
86.9,0.00158,0.0001888072114
87,0.001574,0.000188090222
87.1,0.001568,0.0001873732326
87.2,0.001563,0.0001867757414
87.3,0.001558,0.0001861782503
87.4,0.001554,0.0001857002573
87.5,0.001549,0.0001851027661
87.6,0.001546,0.0001847442714
87.7,0.001543,0.0001843857767
87.8,0.00154,0.000184027282
87.9,0.001538,0.0001837882856
88,0.001536,0.0001835492891
88.1,0.001535,0.0001834297909
88.2,0.001534,0.0001833102926
88.3,0.001534,0.0001833102926
88.4,0.001535,0.0001834297909
88.5,0.001536,0.0001835492891
88.6,0.001538,0.0001837882856
88.7,0.001541,0.0001841467803
88.8,0.001544,0.000184505275
88.9,0.001549,0.0001851027661
89,0.001554,0.0001857002573
89.1,0.001559,0.0001862977485
89.2,0.001566,0.0001871342361
89.3,0.001574,0.000188090222
89.4,0.001582,0.0001890462079
89.5,0.001591,0.000190121692
89.6,0.001602,0.0001914361726
89.7,0.001613,0.0001927506532
89.8,0.001626,0.0001943041302
89.9,0.001639,0.0001958576073
90,0.001654,0.0001976500808
