theta_cm_deg,experiment_mb_sr,uncertainty_mb_sr,fresco_mb_sr,scaled_mb_sr,residual_mb_sr
7.6,0.103,0.01545,1.136,0.1357499951,-0.03274999505
10.8,0.075,0.01125,0.8197,0.0979527033,-0.0229527033
14.4,0.057,0.00855,0.4584,0.05477799096,0.002222009039
18,0.033,0.00495,0.2333,0.02787893824,0.005121061755
23.6,0.033,0.00495,0.1469,0.01755429073,0.01544570927
29.6,0.026,0.0039,0.08499,0.010156155,0.015843845
37.6,0.018,0.0027,0.03093,0.003696080411,0.01430391959
